Chlamydomonas reinhardtii
Physcomitrella patens
Populus trichocarpa
Arabidopsis thaliana
Brassica rapa
Glycine max
Solanum lycopersicum
Solanum tuberosum
Hordeum vulgare
Oryza brachyantha
Oryza glaberrima
Setaria italica
Sorghum bicolor
Zea mays
Musa acuminata
Schizosaccharomyces pombe
Saccharomyces cerevisiae
Leptosphaeria maculans
Aspergillus niger
Neurospora crassa
Sclerotinia sclerotiorum
Ustilago maydis
Puccinia graminis
Fusarium oxysporum
Gibberella zeae
Caenorhabditis elegans
Drosophila melanogaster
Ciona intestinalis
Petromyzon marinus
Latimeria chalumnae
Danio rerio
Gadus morhua
Xiphophorus maculatus
Oryzias latipes
Oreochromis niloticus
Xenopus (Silurana) tropicalis
Gallus gallus
Meleagris gallopavo
Ornithorhynchus anatinus
Sarcophilus harrisii
Macropus eugenii
Dasypus novemcinctus
Echinops telfairi
Tarsius syrichta
Callithrix jacchus
Macaca mulatta
Gorilla gorilla
Pan troglodytes
Pongo abelii
Homo sapiens
Canis lupus familiaris
Ailuropoda melanoleuca
Mustela putorius furo
Felis catus
Tursiops truncatus
Loxodonta africana
Equus caballus
Procavia capensis
Sus scrofa
Bos taurus
Oryctolagus cuniculus
Dipodomys ordii
Mus musculus
Rattus norvegicus
Cavia porcellus
Monodelphis domestica
Phaeosphaeria nodorum
Pelodiscus sinensis
Brachypodium distachyon
Anolis carolinensis
Vitis vinifera
Gaeumannomyces graminis
Hypocrea virens
Microcebus murinus
Otolemur garnettii
Takifugu rubripes
Eremothecium gossypii
Neosartorya fischeri
Tupaia belangeri
Tuber melanosporum
Oryza sativa Indica Group
Botryotinia fuckeliana
Ictidomys tridecemlineatus
Cyanidioschyzon merolae
Ciona savignyi
Myotis lucifugus
Arabidopsis lyrata
Taeniopygia guttata
Nomascus leucogenys
Gasterosteus aculeatus
Selaginella moellendorffii
Tetraodon nigroviridis
Gibberella moniliformis
Pteropus vampyrus
Necteria haematococca
Magnaporthe poae
Emericella nidulans
Puccinia triticina
Magnaporthe oryzae
Zymoseptoria tritici
